claim_id,claim_category,claim_statement,claim_status,empirical_evidence_metric,scientific_justification_and_boundary,manuscript_drafting_guideline
CLAIM-01,Dimensionality Reduction,"MOFA2 compresses 11,402 high-dimensional multi-modal features into 15 orthogonal latent factors capturing 27.55% RNA, 58.61% Methylation, and 66.27% CNV total variance.",DIRECTLY_SUPPORTED,"MOFA2 model fit: RNA R2 = 27.55%, Methylation R2 = 58.61%, CNV R2 = 66.27% across N=285 cohort.",Direct empirical output from the frozen N=285 MOFA2 decomposition. Confirms multi-omic data integration without over-fitting.,State exact variance explained per modality as empirical descriptive statistics of the latent factor decomposition.
CLAIM-02,Somatic Mutation Contribution,Somatic SNV mutations provide a negligible contribution to total latent multi-omic variance (R2 = 0.0892%) in the unsupervised MOFA2 framework.,DIRECTLY_SUPPORTED,Frozen MOFA2 model total SNV R2 = 0.0892%; per-factor SNV R2 ranges from 0.0032% to 0.0078%.,"Verified empirical reality. Sparse binary mutation events (even in hotspot genes like TP53, CTNNB1) contribute virtually no continuous co-variance compared to dense continuous transcriptomic and epigenomic profiles.",Explicitly report the 0.089% SNV variance in the Results. Do not obscure or exaggerate mutation-level influence.
CLAIM-03,Multi-Modal Synergy,"The 15-factor latent representation reflects balanced four-way mechanistic synergy equally driven by RNA, methylation, CNV, and SNV.",UNSUPPORTED_OVERSTATED,"SNV R2 is 0.0892%, whereas Methylation is 58.61% and CNV is 66.27% (over 650-fold difference in variance captured).",Mathematically false and scientifically inaccurate. Claiming 'four-way synergy' misrepresents the factual variance distribution where SNV is virtually silent.,"STRICTLY PROHIBITED. State honestly that the latent space is predominantly driven by copy number, epigenomic, and transcriptomic variation, with negligible somatic mutation contribution."
CLAIM-04,Somatic Mutation Driver Role,Specific somatic SNVs (e.g. TP53 or CTNNB1) act as the primary prognostic drivers in the final multi-omics survival model.,UNSUPPORTED_OVERSTATED,SNV feature weights across prognostic factors are minuscule (|w| < 0.002) compared to RNA (|w| up to 1.93) and Methylation (|w| up to 1.32).,"Contradicted by model weights and variance explained. While CTNNB1 and TP53 align with Factor 2 orientation, their mathematical weight is negligible.","STRICTLY PROHIBITED. Mention TP53/CTNNB1 alignment only as biological corroboration of tumor subtypes, never as primary prognostic drivers."
CLAIM-05,Prognostic Latent Driver,"Factor 2 represents the primary multi-omic prognostic driver, demonstrating strong univariate association (HR = 0.775, p = 0.00022, C = 0.626) and dominant selection in ElasticNet-Cox (coef = -0.1665).",DIRECTLY_SUPPORTED,"Univariate Cox: z = -3.69, p = 0.000224, C = 0.6261; ElasticNet beta = -0.1665 (largest non-zero coefficient by far).",Rigorous empirical convergence between univariate Wald statistics and 5-fold cross-validated penalized regression on N=285.,Highlight Factor 2 as the central biological and mathematical prognostic component of the multi-omics signature.
CLAIM-06,Secondary Prognostic Factors,"Factors 1, 3, 8, 14, and 15 provide secondary, modest prognostic modulation in the penalized ElasticNet-Cox model.",EXPLORATORY_STATISTICALLY_SUPPORTED,"ElasticNet coefficients: Factor 14 (-0.0455), Factor 1 (-0.0412), Factor 8 (+0.0398), Factor 15 (+0.0165), Factor 3 (+0.0028); univariate p-values range 0.051 to 0.129.","These factors have modest effect sizes and marginal univariate significance (p ~ 0.05 - 0.13), though retained under L1/L2 regularization.",Describe these factors as secondary modulators and treat their individual biological interpretations as exploratory.
CLAIM-07,Biological Differentiation vs Proliferation Axis,"Factor 2 captures a robust transcriptomic axis contrasting mature hepatocyte metabolic differentiation (cytochrome P450, xenobiotic and fatty acid metabolism; BH FDR < 1e-15) against mitotic cell-cycle progression (nuclear division, chromosome segregation; BH FDR < 1e-20).",DIRECTLY_SUPPORTED,clusterProfiler GO BP: positive loadings enriched in steroid/xenobiotic metabolism (FDR = 7.1e-23); negative loadings enriched in nuclear division (FDR = 6.8e-25).,"Overwhelming statistical enrichment with dozens of core genes per pathway, fully consistent with established LIHC molecular subtypes.",Present this differentiation vs proliferation dichotomy as the core biological narrative explaining the prognostic performance of the model.
CLAIM-08,Causal Mechanistic Claims,Over-representation pathway enrichment proves that dysregulation of cytochrome P450 and mitotic pathways causally governs patient mortality in LIHC.,UNSUPPORTED_OVERSTATED,ORA enrichment is purely observational correlative gene-set overlap testing on static cross-sectional bulk tumor profiles.,Observational bulk transcriptomics cannot establish mechanistic or molecular causality without targeted perturbation experiments.,"STRICTLY PROHIBITED. Frame findings as functional pathway associations and biological hallmarks, never as proven causal mechanisms."
CLAIM-09,Epigenomic Factor 1 Biology,Factor 1 captures large-scale DNA methylation reprogramming (46.42% of methylation variance) correlated with stem-cell markers such as EPCAM.,DIRECTLY_SUPPORTED,"Factor 1 explains 46.42% methylation variance, top positive RNA loading is EPCAM (+0.481), top methylation probe cg03784302 (+1.316).",Direct empirical output from MOFA2 factor loadings and variance decomposition.,Discuss Factor 1 as an epigenomic architecture axis linked to hepatic progenitor phenotypes.
CLAIM-10,Factor Stability Across CV Runs,"The primary prognostic factor (Factor 2) is highly reproducible across all 25 outer CV runs, exhibiting an average Pearson correlation of r = 0.9784 to the frozen model and 100% selection frequency in outer fold ElasticNet models.",DIRECTLY_SUPPORTED,"25 outer CV checkpoints: Factor 2 mean |r| = 0.9784 (SD = 0.0125), 96% exact index match, 100% ElasticNet selection frequency, mean sign-aligned HR = 0.7603.",Empirically quantified from the 25 completed outer cross-validation folds without retraining.,Report these stability metrics as strong validation of the reproducibility of the primary multi-omic survival signal.
